MMSI,Speed,COG,Destination,Ship_type,Gross_tonnage,Length,Breadth
636015565,12.4056,81.3492,Primorsk,Tanker,66855,249.9,46.0
248792000,11.4175,71.6657,Sillamäe,Tanker,2627,92.86,14.1
353566000,12.4437,80.1423,Sillamäe,Tanker,17712,169.9,25.4
374538000,10.0683,94.5346,Sillamae,Cargo,6354,108.5,18.6
211718360,8.0,75.1,Tallinn,Cargo,2224,88.0,12.5
215058000,8.9,87.9,Tallinn,Tanker,4606,129.3,16.5
218809000,7.2,76.5,Tallinn,Tug,324,32.6,10.1
220124000,8.6,79.3,Tallinn,Tug,366,33.2,9.8
230212000,9.6,125.0,Tallinn,Tanker,30026,46.9,8.1
230649000,7.6,113.8,Tallinn,Cargo,2561,88.0,12.5
230941170,9.1,109.9,Tallinn,Tug,139,26.8,7.5
230961000,7.2,73.7,Tallinn,Tug,256,32.9,9.0
235103736,8.9,79.5,Tallinn,Cargo,2840,89.7,13.6
244557000,11.0,77.1,Tallinn,Cargo,2281,89.0,11.8
304010054,7.8,79.1,Tallinn,Cargo,1472,79.0,10.9
511658000,8.4,90.1,Tallinn,Cargo,4115,100.6,16.2
215555000,13.8026,73.9815,Ust-Luga,Tanker,29327,183.0,32.2
249856000,12.1048,69.8444,Ust-Luga,Tanker,61000,249.9,43.8
249997000,9.2103,89.6131,Ust-Luga,Tanker,60751,255.9,44.0
370756000,12.8,82.5,Ust-Luga,Tanker,28777,180.0,32.2
538002775,12.7,94.3,Ust-Luga,Tanker,30641,195.2,32.2
538003321,12.7359,79.5269,Ust-Luga,Tanker,62775,250.0,44.0
538090534,10.7,82.5,Ust-Luga,Tanker,61320,250.0,43.8
636012813,11.4,77.0,Ust-Luga,Tanker,65293,250.0,44.1
305813000,10.0533,84.8581,Ust-Luga,Cargo,2452,87.84,12.9
372908000,11.5683,88.0437,Ust-Luga,Cargo,45223,228.92,32.24
538006370,13.2167,77.5127,Ust-Luga,Tanker,5452,99.95,18
538006519,12.0439,66.8375,Ust-Luga,Cargo,36415,199.9,32
636011640,11.0401,83.5224,Ust-Luga,Tanker,62586,249.9,44
636012662,10.5673,84.8975,Ust-Luga,Tanker,57248,244,42.03
636015737,14.3591,102.1929,Ust-Luga,Tanker,18425,159.97,25.6
636017596,11.166,88.5264,Ust-Luga,Tanker,29767,183,32.2
210319000,9.0,73.7,Valko-Loviisa,Cargo,1616,82.5,11.5
212360000,11.2,67.4,Valko-Loviisa,Cargo,3239,96.0,13.6
230025450,7.9,81.9,Valko-Loviisa,Tug,196,28.4,8.5
245739000,8.9,75.2,Valko-Loviisa,Cargo,1978,80.0,12.2
304050000,10.0,63.1,Valko-Loviisa,Cargo,2771,89.8,13.6
375067000,8.5,75.0,Valko-Loviisa,Cargo,1307,74.9,10.5
375156000,8.8,76.4,Valko-Loviisa,Cargo,1587,88.0,11.9
209185000,12.3292,73.0241,Valko-Loviisa,Cargo,6872,109.83,18.6
563038100,13.9045,71.43,Valko-Loviisa,Cargo,6693,116.26,18
212552000,9.8,69.8,Viipuri,Cargo,4446,111.0,14.5
245137000,10.0,66.3,Viipuri,Cargo,2396,82.5,12.5
246499000,9.0,71.3,Viipuri,Cargo,2409,82.5,12.5
304010297,9.7,75.1,Viipuri,Cargo,2416,84.9,12.8
304833000,9.5,64.8,Viipuri,Cargo,2069,80.1,12.4
305274000,8.9,89.9,Viipuri,Cargo,4842,115.0,16.0
246650000,8.1,74.5,Vuosaari,Cargo,28599,168.1,27.0
538090268,7.5,75.7,Vuosaari,Cargo,17360,178.6,27.7
636015204,10.9,72.7,Vuosaari,Cargo,17368,168.1,25.8
636092319,7.4,73.1,Vuosaari,Cargo,10585,151.7,23.4
255806067,15.5533,56.055,Vuosaari,Cargo,15334,166.17,25.24
255806086,17.0825,53.3264,Vuosaari,Cargo,12514,158.01,23.79
305978000,11.695,53.3866,Vuosaari,Cargo,11550,157.76,23.53
273374820,10.0,74.6,Vysotsk,Tanker,4979,139.9,16.7
273385070,9.4,74.5,Vysotsk,Tanker,4979,139.9,16.9
273388150,9.7668,68.7159,Vysotsk,Tanker,5075,140.9,16.9
636092755,11.2,73.7,Vysotsk,Tanker,23240,183.0,27.4
357100000,11.2703,59.3888,Vysotsk,Cargo,43717,229.04,32.31
